DMV ID,DMV Snapshot (Date),Registration Valid Date,ZIP Code,VIN Prefix,Registration Expiration Date,VIN Model Year,Make,Model,Model Year
2,DMV Direct (8/20/2019),4/19/2019,48383,5YJ3E1EA,,K,Tesla,Model 3,2019
2,DMV Direct (8/20/2019),4/19/2019,48035,1G1RH6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/19/2019,48219,1FADP5EU,,H,Ford,C-Max Energi,2017
2,DMV Direct (8/20/2019),9/7/2018,48103,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),9/7/2018,48820,1G1RB6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),4/19/2019,48159,5YJ3E1EB,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),9/7/2018,48312,1G1RA6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),9/7/2018,48236,1G1RD6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),9/7/2018,48642,2C4RC1N7,,H,Chrysler,Pacifica,2017
2,DMV Direct (8/20/2019),4/19/2019,49315,1G1RD6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),9/7/2018,48197,JHMZC5F3,,J,Honda,Clarity Plug In,2018
2,DMV Direct (8/20/2019),9/7/2018,48176,5YJSA1E2,,H,Tesla,Model S,2017
2,DMV Direct (8/20/2019),4/19/2019,48439,1G1RD6E4,,B,Chevrolet,Volt,2011
2,DMV Direct (8/20/2019),4/19/2019,48168,5YJ3E1EB,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),4/19/2019,48118,1G1RB6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),9/7/2018,49685,WBAJB1C5,,J,BMW,5-Series Plug in,2018
2,DMV Direct (8/20/2019),9/7/2018,49706,JTDKN3DP,,C,Toyota,Prius Plug-in,2012
2,DMV Direct (8/20/2019),4/19/2019,48377,5YJXCDE2,,J,Tesla,Model X,2018
2,DMV Direct (8/20/2019),9/5/2018,48236,3FA6P0PU,,D,Ford,Fusion Energi,2013
2,DMV Direct (8/20/2019),4/22/2019,48065,1G1RD6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),4/22/2019,49251,1G1RA6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),4/22/2019,48038,1G1RD6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),9/5/2018,49085,3FA6P0SU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),9/5/2018,48188,WBA7J2C5,,J,BMW,7-Series Plug in,2018
2,DMV Direct (8/20/2019),9/5/2018,48098,5UXKT0C5,,J,BMW,X5,2018
2,DMV Direct (8/20/2019),4/22/2019,49017,1G1RD6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),9/5/2018,48642,5YJSA1H1,,E,Tesla,Model S,2014
2,DMV Direct (8/20/2019),4/22/2019,48706,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),9/5/2018,49509,JHMZC5F3,,J,Honda,Clarity Plug In,2018
2,DMV Direct (8/20/2019),9/5/2018,48186,3FA6P0SU,,D,Ford,Fusion Energi,2013
2,DMV Direct (8/20/2019),9/5/2018,48103,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),4/22/2019,48146,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),4/22/2019,48188,WP1AE2A2,,G,Porsche,Cayenne S E-Hybrid,2016
2,DMV Direct (8/20/2019),9/5/2018,48103,1FADP5CU,,F,Ford,C-Max Energi,2015
2,DMV Direct (8/20/2019),4/21/2019,49546,5UXKT0C5,,H,BMW,X5,2017
2,DMV Direct (8/20/2019),4/21/2019,48073,1G1RA6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),9/5/2018,48073,WBY1Z4C5,,E,BMW,i3 REx,2014
2,DMV Direct (8/20/2019),9/6/2018,49117,JA4J24A5,,J,Mitsubishi,Outlander Plug In,2018
2,DMV Direct (8/20/2019),9/5/2018,48103,1FADP5FU,,H,Ford,C-Max Energi,2017
2,DMV Direct (8/20/2019),4/21/2019,48323,5YJSA1E2,,F,Tesla,Model S,2015
2,DMV Direct (8/20/2019),4/21/2019,48220,5YJ3E1EB,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),9/5/2018,48323,3FA6P0SU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),9/5/2018,48455,1G1RD6E4,,B,Chevrolet,Volt,2011
2,DMV Direct (8/20/2019),4/21/2019,48840,3FA6P0SU,,F,Ford,Fusion Energi,2015
2,DMV Direct (8/20/2019),4/21/2019,48302,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),9/5/2018,48098,5YJSA1H2,,F,Tesla,Model S,2015
2,DMV Direct (8/20/2019),4/21/2019,49224,1G1RD6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/22/2019,48105,3FA6P0PU,,D,Ford,Fusion Energi,2013
2,DMV Direct (8/20/2019),9/5/2018,49329,1FADP5CU,,D,Ford,C-Max Energi,2013
2,DMV Direct (8/20/2019),9/5/2018,49087,1G1RA6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/22/2019,48302,WBAJB1C5,,J,BMW,5-Series Plug in,2018
2,DMV Direct (8/20/2019),4/22/2019,48180,KNDJP3AE,,J,Kia,Soul EV,2018
2,DMV Direct (8/20/2019),9/5/2018,49601,1G1RD6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),9/5/2018,49316,1FADP5CU,,E,Ford,C-Max Energi,2014
2,DMV Direct (8/20/2019),9/5/2018,48209,3FA6P0SU,,E,Ford,Fusion Energi,2014
2,DMV Direct (8/20/2019),4/22/2019,49017,JN1AZ0CP,,C,Nissan,Leaf,2012
2,DMV Direct (8/20/2019),4/22/2019,48362,KNDCM3LD,,J,Kia,Niro Plug In,2018
2,DMV Direct (8/20/2019),4/22/2019,43604,3FA6P0PU,,F,Ford,Fusion Energi,2015
2,DMV Direct (8/20/2019),9/5/2018,48009,5YJSA1CP,,D,Tesla,Model S,2013
2,DMV Direct (8/20/2019),4/22/2019,49770,1G1RD6E4,,B,Chevrolet,Volt,2011
2,DMV Direct (8/20/2019),9/5/2018,48104,WBY1Z2C5,,E,BMW,i3,2014
2,DMV Direct (8/20/2019),4/22/2019,48413,1G1RA6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),4/22/2019,48473,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),4/22/2019,48393,1G1FY6S0,,K,Chevrolet,Bolt EV,2019
