id,geographic area name,occupied housing units,"1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,mobile home,"boat, rv, van, etc.",year,1-unit attached,boat rv van etc.
0500000US50009,"Essex County, Vermont",2720,,134,95,117,6,28,453,,2017,9,0
0500000US50023,"Washington County, Vermont",24719,,1815,2200,1706,672,1299,1610,,2017,1306,2
0500000US51087,"Henrico County, Virginia",126115,,1392,5575,7966,10494,8270,713,,2017,13967,45
0500000US51089,"Henry County, Virginia",22161,,350,675,641,646,200,5028,,2017,317,0
0500000US51099,"King George County, Virginia",8972,,103,168,117,98,85,729,,2017,375,0
0500000US51101,"King William County, Virginia",6079,,0,55,27,32,16,317,,2017,40,0
0500000US51103,"Lancaster County, Virginia",5081,,71,96,144,47,116,420,,2017,302,0
0500000US51105,"Lee County, Virginia",9278,,165,279,171,141,56,2529,,2017,62,0
0500000US51109,"Louisa County, Virginia",13451,,64,176,78,135,88,2152,,2017,251,0
0500000US51115,"Mathews County, Virginia",3766,,25,18,75,32,74,475,,2017,28,0
0500000US51119,"Middlesex County, Virginia",4522,,62,113,53,15,0,887,,2017,129,0
0500000US51147,"Prince Edward County, Virginia",7281,,177,334,110,696,222,1309,,2017,137,0
0500000US51149,"Prince George County, Virginia",11298,,174,166,274,300,64,869,,2017,1338,0
0500000US51159,"Richmond County, Virginia",3250,,69,77,56,76,135,384,,2017,12,3
0500000US51165,"Rockingham County, Virginia",30503,,753,625,1230,372,574,3377,,2017,2647,0
0500000US51169,"Scott County, Virginia",8976,,143,119,94,76,156,3014,,2017,74,0
0500000US51177,"Spotsylvania County, Virginia",43279,,134,319,386,1366,1702,2268,,2017,3690,19
0500000US51181,"Surry County, Virginia",2773,,5,47,78,21,0,491,,2017,6,0
0500000US51011,"Appomattox County, Virginia",5948,,76,7,60,80,31,1455,,2017,43,1
0500000US51043,"Clarke County, Virginia",5568,,115,168,65,40,306,22,,2017,111,0
0500000US51067,"Franklin County, Virginia",23203,,407,444,574,443,413,5087,,2017,428,14
0500000US51097,"King and Queen County, Virginia",2811,,14,24,0,0,5,577,,2017,46,7
0500000US51117,"Mecklenburg County, Virginia",11785,,157,208,364,110,146,4392,,2017,166,33
0500000US51121,"Montgomery County, Virginia",35577,,1498,1424,2075,4898,1410,4239,,2017,4037,0
0500000US51127,"New Kent County, Virginia",7555,,77,0,14,0,0,275,,2017,263,30
0500000US51015,"Augusta County, Virginia",28790,,422,532,569,587,382,3340,,2017,827,27
0500000US51049,"Cumberland County, Virginia",3972,,139,30,123,0,0,882,,2017,56,0
0500000US51051,"Dickenson County, Virginia",6096,,28,58,107,163,31,2502,,2017,64,8
0500000US51075,"Goochland County, Virginia",8257,,20,0,23,23,92,356,,2017,205,0
0500000US51083,"Halifax County, Virginia",14084,,173,237,220,103,264,3233,,2017,146,0
0500000US51107,"Loudoun County, Virginia",121299,,499,1233,4452,8841,6344,623,,2017,36716,112
0500000US51113,"Madison County, Virginia",5107,,149,83,27,36,32,209,,2017,76,0
0500000US51153,"Prince William County, Virginia",139306,,957,1397,3948,13158,5724,1752,,2017,37662,17
0500000US51161,"Roanoke County, Virginia",38434,,471,654,1070,3017,1419,1005,,2017,2252,22
0500000US51175,"Southampton County, Virginia",6664,,81,70,154,29,17,1126,,2017,94,2
0500000US51091,"Highland County, Virginia",1163,,3,11,9,0,14,205,,2017,31,0
0500000US51025,"Brunswick County, Virginia",6048,,25,42,139,30,61,1993,,2017,67,0
