id,geographic area name,total population,year
0500000US18011,"Boone County, Indiana",54796,2010
0500000US18013,"Brown County, Indiana",15271,2010
0500000US18015,"Carroll County, Indiana",20135,2010
0500000US18017,"Cass County, Indiana",39058,2010
0500000US18019,"Clark County, Indiana",107381,2010
0500000US18021,"Clay County, Indiana",26983,2010
0500000US18023,"Clinton County, Indiana",33270,2010
0500000US18025,"Crawford County, Indiana",10825,2010
0500000US18027,"Daviess County, Indiana",31045,2010
0500000US18029,"Dearborn County, Indiana",49580,2010
0500000US18031,"Decatur County, Indiana",25584,2010
0500000US18033,"DeKalb County, Indiana",41968,2010
0500000US18035,"Delaware County, Indiana",117344,2010
0500000US18037,"Dubois County, Indiana",41809,2010
0500000US18039,"Elkhart County, Indiana",196855,2010
0500000US18041,"Fayette County, Indiana",24367,2010
0500000US18043,"Floyd County, Indiana",73594,2010
0500000US18045,"Fountain County, Indiana",17329,2010
0500000US18047,"Franklin County, Indiana",23194,2010
0500000US18049,"Fulton County, Indiana",20684,2010
0500000US18051,"Gibson County, Indiana",33386,2010
0500000US18053,"Grant County, Indiana",70176,2010
0500000US18055,"Greene County, Indiana",33084,2010
0500000US18057,"Hamilton County, Indiana",261244,2010
0500000US18059,"Hancock County, Indiana",68011,2010
0500000US18061,"Harrison County, Indiana",38616,2010
0500000US18063,"Hendricks County, Indiana",140028,2010
0500000US18065,"Henry County, Indiana",48921,2010
0500000US18067,"Howard County, Indiana",83326,2010
0500000US18069,"Huntington County, Indiana",37321,2010
0500000US18071,"Jackson County, Indiana",41902,2010
0500000US18073,"Jasper County, Indiana",33055,2010
0500000US18075,"Jay County, Indiana",21441,2010
0500000US18077,"Jefferson County, Indiana",32393,2010
0500000US18079,"Jennings County, Indiana",28470,2010
0500000US18081,"Johnson County, Indiana",135994,2010
0500000US18083,"Knox County, Indiana",38425,2010
0500000US18085,"Kosciusko County, Indiana",76982,2010
0500000US18087,"LaGrange County, Indiana",36996,2010
0500000US18089,"Lake County, Indiana",494417,2010
0500000US18091,"LaPorte County, Indiana",110937,2010
0500000US18093,"Lawrence County, Indiana",46192,2010
0500000US18095,"Madison County, Indiana",131444,2010
0500000US18097,"Marion County, Indiana",890976,2010
0500000US18099,"Marshall County, Indiana",46976,2010
0500000US18101,"Martin County, Indiana",10324,2010
0500000US18103,"Miami County, Indiana",37307,2010
0500000US18105,"Monroe County, Indiana",134442,2010
0500000US18107,"Montgomery County, Indiana",38138,2010
0500000US18109,"Morgan County, Indiana",68654,2010
0500000US18111,"Newton County, Indiana",14300,2010
0500000US18113,"Noble County, Indiana",47513,2010
0500000US18115,"Ohio County, Indiana",6067,2010
