id,geographic area name,median income (family),median income (nonfamily),year
0500000US05089,"Marion County, Arkansas",41321,18809,2010
0500000US05091,"Miller County, Arkansas",47960,21127,2010
0500000US05093,"Mississippi County, Arkansas",39644,20350,2010
0500000US05095,"Monroe County, Arkansas",35532,13302,2010
0500000US05097,"Montgomery County, Arkansas",43306,14914,2010
0500000US05099,"Nevada County, Arkansas",46658,20417,2010
0500000US05101,"Newton County, Arkansas",37938,12304,2010
0500000US05103,"Ouachita County, Arkansas",42771,14724,2010
0500000US05105,"Perry County, Arkansas",50364,17642,2010
0500000US05107,"Phillips County, Arkansas",32902,16222,2010
0500000US05109,"Pike County, Arkansas",39526,18036,2010
0500000US05111,"Poinsett County, Arkansas",38865,18185,2010
0500000US05113,"Polk County, Arkansas",37883,17470,2010
0500000US05115,"Pope County, Arkansas",46083,21742,2010
0500000US05117,"Prairie County, Arkansas",42609,19238,2010
0500000US05119,"Pulaski County, Arkansas",57863,30013,2010
0500000US05121,"Randolph County, Arkansas",43552,13655,2010
0500000US05123,"St. Francis County, Arkansas",34233,15265,2010
0500000US05125,"Saline County, Arkansas",62109,28574,2010
0500000US05127,"Scott County, Arkansas",39425,14971,2010
0500000US05129,"Searcy County, Arkansas",38662,11942,2010
0500000US05131,"Sebastian County, Arkansas",49149,23995,2010
0500000US05133,"Sevier County, Arkansas",39263,20262,2010
0500000US05135,"Sharp County, Arkansas",39435,15386,2010
0500000US05137,"Stone County, Arkansas",36765,13564,2010
0500000US05139,"Union County, Arkansas",46185,19055,2010
0500000US05141,"Van Buren County, Arkansas",40161,19316,2010
0500000US05143,"Washington County, Arkansas",52300,25309,2010
0500000US05145,"White County, Arkansas",46012,22543,2010
0500000US05147,"Woodruff County, Arkansas",36917,15110,2010
0500000US05149,"Yell County, Arkansas",39517,19836,2010
0500000US06001,"Alameda County, California",85014,44439,2010
0500000US06003,"Alpine County, California",80278,34914,2010
0500000US06005,"Amador County, California",65103,33411,2010
0500000US06007,"Butte County, California",54924,26364,2010
0500000US06009,"Calaveras County, California",65542,29401,2010
0500000US06011,"Colusa County, California",53643,29341,2010
0500000US06013,"Contra Costa County, California",91791,47627,2010
0500000US06015,"Del Norte County, California",51824,21419,2010
0500000US06017,"El Dorado County, California",83142,38342,2010
0500000US06019,"Fresno County, California",52306,28843,2010
0500000US06021,"Glenn County, California",49773,23087,2010
0500000US06023,"Humboldt County, California",53221,24568,2010
0500000US06025,"Imperial County, California",43490,18179,2010
0500000US06027,"Inyo County, California",61898,26117,2010
0500000US06029,"Kern County, California",51311,29291,2010
0500000US06031,"Kings County, California",53498,29843,2010
0500000US06033,"Lake County, California",50140,21906,2010
0500000US06035,"Lassen County, California",62842,30219,2010
0500000US06037,"Los Angeles County, California",61622,40208,2010
0500000US06039,"Madera County, California",51115,27203,2010
0500000US06041,"Marin County, California",112911,55060,2010
0500000US06043,"Mariposa County, California",57682,32267,2010
0500000US06045,"Mendocino County, California",51787,27645,2010
0500000US06047,"Merced County, California",47924,24901,2010
0500000US06049,"Modoc County, California",46349,22668,2010
0500000US06051,"Mono County, California",74888,35184,2010
0500000US06053,"Monterey County, California",63372,41786,2010
0500000US06055,"Napa County, California",80030,42262,2010
0500000US06057,"Nevada County, California",66753,32731,2010
0500000US06059,"Orange County, California",83735,49389,2010
0500000US06061,"Placer County, California",89196,39065,2010
0500000US06063,"Plumas County, California",54182,28320,2010
0500000US06065,"Riverside County, California",64787,34252,2010
0500000US06067,"Sacramento County, California",66003,39013,2010
0500000US06069,"San Benito County, California",75051,37901,2010
0500000US06071,"San Bernardino County, California",61526,34123,2010
0500000US06073,"San Diego County, California",73560,43022,2010
0500000US06075,"San Francisco County, California",85778,58139,2010
0500000US06077,"San Joaquin County, California",61292,32603,2010
0500000US06079,"San Luis Obispo County, California",72054,31478,2010
0500000US06081,"San Mateo County, California",101578,55812,2010
0500000US06083,"Santa Barbara County, California",69190,41005,2010
0500000US06085,"Santa Clara County, California",100733,55905,2010
0500000US06087,"Santa Cruz County, California",80264,41621,2010
0500000US06089,"Shasta County, California",55456,25918,2010
0500000US06091,"Sierra County, California",67933,27208,2010
0500000US06093,"Siskiyou County, California",47037,21431,2010
0500000US06095,"Solano County, California",77321,42769,2010
0500000US06097,"Sonoma County, California",76715,39225,2010
0500000US06099,"Stanislaus County, California",57433,29955,2010
0500000US06101,"Sutter County, California",57581,29029,2010
0500000US06103,"Tehama County, California",45451,21346,2010
0500000US06105,"Trinity County, California",46686,25466,2010
0500000US06107,"Tulare County, California",47126,26902,2010
0500000US06109,"Tuolumne County, California",62440,28065,2010
0500000US06111,"Ventura County, California",84364,44455,2010
0500000US06113,"Yolo County, California",73259,35549,2010
0500000US06115,"Yuba County, California",53289,25756,2010
0500000US08001,"Adams County, Colorado",62864,36220,2010
0500000US08003,"Alamosa County, Colorado",45742,18758,2010
0500000US08005,"Arapahoe County, Colorado",72459,38120,2010
0500000US08007,"Archuleta County, Colorado",65489,31895,2010
0500000US08009,"Baca County, Colorado",43466,20900,2010
0500000US08011,"Bent County, Colorado",43472,24184,2010
0500000US08013,"Boulder County, Colorado",87860,37200,2010
0500000US08014,"Broomfield County, Colorado",94135,45939,2010
0500000US08015,"Chaffee County, Colorado",54353,21776,2010
0500000US08017,"Cheyenne County, Colorado",68125,28472,2010
0500000US08019,"Clear Creek County, Colorado",73134,39156,2010
0500000US08021,"Conejos County, Colorado",38950,15580,2010
0500000US08023,"Costilla County, Colorado",38005,11911,2010
0500000US08025,"Crowley County, Colorado",44095,23000,2010
0500000US08027,"Custer County, Colorado",48505,22205,2010
0500000US08029,"Delta County, Colorado",48395,25722,2010
0500000US08031,"Denver County, Colorado",57182,35713,2010
0500000US08033,"Dolores County, Colorado",49167,23438,2010
0500000US08035,"Douglas County, Colorado",108613,57357,2010
0500000US08037,"Eagle County, Colorado",80621,56893,2010
0500000US08039,"Elbert County, Colorado",83074,55479,2010
0500000US08041,"El Paso County, Colorado",68813,33757,2010
0500000US08043,"Fremont County, Colorado",45664,21200,2010
0500000US08045,"Garfield County, Colorado",70123,44811,2010
0500000US08047,"Gilpin County, Colorado",82632,33516,2010
0500000US08049,"Grand County, Colorado",69395,47167,2010
0500000US08051,"Gunnison County, Colorado",69139,30833,2010
0500000US08053,"Hinsdale County, Colorado",88920,57500,2010
0500000US08055,"Huerfano County, Colorado",44401,18841,2010
0500000US08057,"Jackson County, Colorado",44286,31552,2010
0500000US08059,"Jefferson County, Colorado",81136,41240,2010
0500000US08061,"Kiowa County, Colorado",58594,22614,2010
0500000US08063,"Kit Carson County, Colorado",55742,25043,2010
0500000US08065,"Lake County, Colorado",44934,37198,2010
0500000US08067,"La Plata County, Colorado",69089,39603,2010
0500000US08069,"Larimer County, Colorado",73771,31779,2010
0500000US08071,"Las Animas County, Colorado",49347,21617,2010
0500000US08073,"Lincoln County, Colorado",54643,23750,2010
0500000US08075,"Logan County, Colorado",52169,25653,2010
0500000US08077,"Mesa County, Colorado",63049,29540,2010
0500000US08079,"Mineral County, Colorado",66071,32875,2010
0500000US08081,"Moffat County, Colorado",62074,31763,2010
0500000US08083,"Montezuma County, Colorado",52999,24113,2010
