id,geographic area name,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year
0500000US45015,"Berkeley County, South Carolina",10402,39156,31077,12330,18522,9544,2015
0500000US45017,"Calhoun County, South Carolina",1198,3981,2316,902,1175,625,2015
0500000US45019,"Charleston County, South Carolina",17760,55778,51413,20058,66767,37549,2015
0500000US45021,"Cherokee County, South Carolina",5279,13601,6676,2721,3810,1836,2015
0500000US45023,"Chester County, South Carolina",3228,8039,4125,2128,2056,977,2015
0500000US45025,"Chesterfield County, South Carolina",4566,12371,5540,2226,2398,1292,2015
0500000US45027,"Clarendon County, South Carolina",3393,8573,4842,1889,2158,1219,2015
0500000US45029,"Colleton County, South Carolina",3082,9846,5248,2606,2283,1357,2015
0500000US45031,"Darlington County, South Carolina",6125,16708,8763,3774,5327,2399,2015
0500000US45033,"Dillon County, South Carolina",3505,7935,3637,1469,1263,575,2015
0500000US45035,"Dorchester County, South Carolina",7033,27768,24017,10053,15081,8711,2015
0500000US45037,"Edgefield County, South Carolina",2150,6883,3519,1568,2159,1311,2015
0500000US45039,"Fairfield County, South Carolina",2229,6509,2831,1410,1410,931,2015
0500000US45041,"Florence County, South Carolina",9493,30866,18370,7997,12720,7112,2015
0500000US45043,"Georgetown County, South Carolina",3957,13756,9005,3782,6767,4582,2015
0500000US45045,"Greenville County, South Carolina",26342,83476,62967,27197,65683,36271,2015
0500000US45047,"Greenwood County, South Carolina",5575,13753,8353,4599,7227,3413,2015
0500000US45049,"Hampton County, South Carolina",2150,5827,2520,1027,935,539,2015
0500000US45051,"Horry County, South Carolina",16955,67747,48487,20440,32174,15424,2015
0500000US45053,"Jasper County, South Carolina",2602,6460,3652,1071,1800,825,2015
0500000US45055,"Kershaw County, South Carolina",4552,14883,9060,3790,5551,3120,2015
0500000US45057,"Lancaster County, South Carolina",6024,19345,11360,4816,8264,4166,2015
0500000US45059,"Laurens County, South Carolina",6300,15828,9142,3958,4293,2226,2015
0500000US45061,"Lee County, South Carolina",2057,4967,2344,799,997,339,2015
0500000US45063,"Lexington County, South Carolina",14119,52015,40504,18014,34789,19361,2015
0500000US45065,"McCormick County, South Carolina",1029,2420,1798,654,909,533,2015
0500000US45067,"Marion County, South Carolina",2569,8498,4333,1452,2326,1061,2015
0500000US45069,"Marlboro County, South Carolina",3446,8156,3541,1321,1101,580,2015
0500000US45071,"Newberry County, South Carolina",3322,8892,4405,2437,2729,1502,2015
0500000US45073,"Oconee County, South Carolina",5608,17018,10433,4896,7361,4854,2015
0500000US45075,"Orangeburg County, South Carolina",7063,20677,11145,5633,6945,4548,2015
0500000US45077,"Pickens County, South Carolina",7957,23790,14520,7256,9739,6895,2015
0500000US45079,"Richland County, South Carolina",16810,55190,55052,21471,54253,35125,2015
0500000US45081,"Saluda County, South Carolina",1576,5404,2123,1194,1219,716,2015
0500000US45083,"Spartanburg County, South Carolina",19942,57508,40698,18673,28144,15692,2015
0500000US45085,"Sumter County, South Carolina",8766,20227,16506,6528,8199,5124,2015
0500000US45087,"Union County, South Carolina",3003,7471,3894,1634,1505,912,2015
0500000US45089,"Williamsburg County, South Carolina",2733,9237,4373,1819,1670,925,2015
0500000US45091,"York County, South Carolina",12256,44125,33687,15543,31730,15010,2015
0500000US46003,"Aurora County, South Dakota",43,681,342,265,220,108,2015
0500000US46005,"Beadle County, South Dakota",711,4054,2413,1341,1898,501,2015
0500000US46007,"Bennett County, South Dakota",269,555,484,159,277,60,2015
0500000US46009,"Bon Homme County, South Dakota",284,1904,1048,573,696,246,2015
0500000US46011,"Brookings County, South Dakota",536,4515,3228,1572,4738,2308,2015
0500000US46013,"Brown County, South Dakota",856,8395,5210,2607,5261,1878,2015
0500000US46015,"Brule County, South Dakota",218,1082,661,423,576,290,2015
0500000US46017,"Buffalo County, South Dakota",138,456,230,75,73,27,2015
0500000US46019,"Butte County, South Dakota",568,2455,1809,666,1051,186,2015
0500000US46021,"Campbell County, South Dakota",43,460,194,91,199,40,2015
0500000US46023,"Charles Mix County, South Dakota",424,2174,1283,582,760,289,2015
0500000US46025,"Clark County, South Dakota",149,936,515,264,394,142,2015
0500000US46027,"Clay County, South Dakota",175,1960,1181,431,1647,1526,2015
0500000US46029,"Codington County, South Dakota",935,7339,3704,2067,2964,788,2015
0500000US46031,"Corson County, South Dakota",317,800,431,306,295,80,2015
0500000US46033,"Custer County, South Dakota",264,2026,1583,785,1262,441,2015
0500000US46035,"Davison County, South Dakota",526,3512,2871,1949,2581,970,2015
0500000US46037,"Day County, South Dakota",269,1567,921,410,513,178,2015
0500000US46039,"Deuel County, South Dakota",138,1248,556,328,498,124,2015
0500000US46041,"Dewey County, South Dakota",375,1086,747,312,278,152,2015
0500000US46043,"Douglas County, South Dakota",106,867,386,153,296,112,2015
0500000US46045,"Edmunds County, South Dakota",116,936,467,392,431,231,2015
0500000US46047,"Fall River County, South Dakota",266,1647,1451,579,878,356,2015
0500000US46049,"Faulk County, South Dakota",60,548,337,194,279,92,2015
0500000US46051,"Grant County, South Dakota",203,2227,1034,485,767,92,2015
0500000US46053,"Gregory County, South Dakota",208,1165,692,241,410,108,2015
0500000US46055,"Haakon County, South Dakota",89,551,332,141,239,55,2015
0500000US46057,"Hamlin County, South Dakota",150,1589,703,323,558,178,2015
0500000US46059,"Hand County, South Dakota",135,824,546,256,418,135,2015
0500000US46061,"Hanson County, South Dakota",43,709,383,308,392,145,2015
0500000US46063,"Harding County, South Dakota",45,257,203,77,204,51,2015
0500000US46065,"Hughes County, South Dakota",684,3289,2533,1149,2725,1257,2015
0500000US46067,"Hutchinson County, South Dakota",252,1667,880,531,961,391,2015
0500000US46069,"Hyde County, South Dakota",44,476,193,90,142,19,2015
