"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US22057","Lafourche Parish, Louisiana","97614","*****"
"0500000US22063","Livingston Parish, Louisiana","140789","*****"
"0500000US22071","Orleans Parish, Louisiana","390144","*****"
"0500000US22073","Ouachita Parish, Louisiana","153279","*****"
"0500000US22079","Rapides Parish, Louisiana","129648","*****"
"0500000US22097","St. Landry Parish, Louisiana","82124","*****"
"0500000US22103","St. Tammany Parish, Louisiana","260419","*****"
"0500000US22105","Tangipahoa Parish, Louisiana","134758","*****"
"0500000US22109","Terrebonne Parish, Louisiana","110461","*****"
"0500000US23001","Androscoggin County, Maine","108277","*****"
"0500000US23003","Aroostook County, Maine","67055","*****"
"0500000US23005","Cumberland County, Maine","295003","*****"
"0500000US23011","Kennebec County, Maine","122302","*****"
"0500000US23019","Penobscot County, Maine","152148","*****"
"0500000US23031","York County, Maine","207641","*****"
"0500000US24001","Allegany County, Maryland","70416","*****"
"0500000US24003","Anne Arundel County, Maryland","579234","*****"
"0500000US24005","Baltimore County, Maryland","827370","*****"
"0500000US24009","Calvert County, Maryland","92525","*****"
"0500000US24013","Carroll County, Maryland","168447","*****"
"0500000US24015","Cecil County, Maryland","102855","*****"
"0500000US24017","Charles County, Maryland","163257","*****"
"0500000US24021","Frederick County, Maryland","259547","*****"
"0500000US24025","Harford County, Maryland","255441","*****"
"0500000US24027","Howard County, Maryland","325690","*****"
"0500000US24031","Montgomery County, Maryland","1050688","*****"
"0500000US24033","Prince George's County, Maryland","909327","*****"
"0500000US24037","St. Mary's County, Maryland","113510","*****"
"0500000US24043","Washington County, Maryland","151049","*****"
"0500000US24045","Wicomico County, Maryland","103609","*****"
"0500000US24510","Baltimore city, Maryland","593490","*****"
"0500000US25001","Barnstable County, Massachusetts","212990","*****"
"0500000US25003","Berkshire County, Massachusetts","124944","*****"
"0500000US25005","Bristol County, Massachusetts","565217","*****"
"0500000US25009","Essex County, Massachusetts","789034","*****"
"0500000US25011","Franklin County, Massachusetts","70180","*****"
"0500000US25013","Hampden County, Massachusetts","466372","*****"
"0500000US25015","Hampshire County, Massachusetts","160830","*****"
"0500000US25017","Middlesex County, Massachusetts","1611699","*****"
"0500000US25021","Norfolk County, Massachusetts","706775","*****"
"0500000US25023","Plymouth County, Massachusetts","521202","*****"
"0500000US25025","Suffolk County, Massachusetts","803907","*****"
"0500000US25027","Worcester County, Massachusetts","830622","*****"
"0500000US26005","Allegan County, Michigan","118081","*****"
"0500000US26017","Bay County, Michigan","103126","*****"
"0500000US26021","Berrien County, Michigan","153401","*****"
"0500000US26025","Calhoun County, Michigan","134159","*****"
"0500000US26037","Clinton County, Michigan","79595","*****"
"0500000US26045","Eaton County, Michigan","110268","*****"
"0500000US26049","Genesee County, Michigan","405813","*****"
"0500000US26055","Grand Traverse County, Michigan","93088","*****"
"0500000US26065","Ingham County, Michigan","292406","*****"
"0500000US26073","Isabella County, Michigan","69872","*****"
"0500000US26075","Jackson County, Michigan","158510","*****"
"0500000US26077","Kalamazoo County, Michigan","265066","*****"
"0500000US26081","Kent County, Michigan","656955","*****"
"0500000US26087","Lapeer County, Michigan","87607","*****"
"0500000US26091","Lenawee County, Michigan","98451","*****"
"0500000US26093","Livingston County, Michigan","191995","*****"
"0500000US26099","Macomb County, Michigan","873972","*****"
"0500000US26103","Marquette County, Michigan","66699","*****"
"0500000US26111","Midland County, Michigan","83156","*****"
"0500000US26115","Monroe County, Michigan","150500","*****"
"0500000US26121","Muskegon County, Michigan","173566","*****"
"0500000US26125","Oakland County, Michigan","1257584","*****"
"0500000US26139","Ottawa County, Michigan","291830","*****"
"0500000US26145","Saginaw County, Michigan","190539","*****"
"0500000US26147","St. Clair County, Michigan","159128","*****"
"0500000US26155","Shiawassee County, Michigan","68122","*****"
"0500000US26159","Van Buren County, Michigan","75677","*****"
"0500000US26161","Washtenaw County, Michigan","367601","*****"
"0500000US26163","Wayne County, Michigan","1749343","*****"
"0500000US27003","Anoka County, Minnesota","356921","*****"
"0500000US27013","Blue Earth County, Minnesota","67653","*****"
"0500000US27019","Carver County, Minnesota","105089","*****"
"0500000US27035","Crow Wing County, Minnesota","65055","*****"
"0500000US27037","Dakota County, Minnesota","429021","*****"
"0500000US27053","Hennepin County, Minnesota","1265843","*****"
"0500000US27109","Olmsted County, Minnesota","158293","*****"
"0500000US27123","Ramsey County, Minnesota","550321","*****"
"0500000US27131","Rice County, Minnesota","66972","*****"
"0500000US27137","St. Louis County, Minnesota","199070","*****"
"0500000US27139","Scott County, Minnesota","149013","*****"
"0500000US27141","Sherburne County, Minnesota","97238","*****"
"0500000US27145","Stearns County, Minnesota","161075","*****"
"0500000US27163","Washington County, Minnesota","262440","*****"
"0500000US27171","Wright County, Minnesota","138377","*****"
"0500000US28033","DeSoto County, Mississippi","184945","*****"
"0500000US28035","Forrest County, Mississippi","74897","*****"
"0500000US28047","Harrison County, Mississippi","208080","*****"
"0500000US28049","Hinds County, Mississippi","231840","*****"
"0500000US28059","Jackson County, Mississippi","143617","*****"
"0500000US28067","Jones County, Mississippi","68098","*****"
"0500000US28075","Lauderdale County, Mississippi","74125","*****"
"0500000US28081","Lee County, Mississippi","85436","*****"
"0500000US28089","Madison County, Mississippi","106272","*****"
"0500000US28121","Rankin County, Mississippi","155271","*****"
